Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Salary
7,73.6,55.8,6.78,6.95,7.3,7.8,9.3,0,4,4,0
6,90,78.31,7.33,7.85,8,9.33,9.22,0,4,4,0
6,78.2,66.7,5.59,6.26,7.52,5.5,9.26,0,4,4,0
3,80.6,58.9,7.09,6.5,8.73,0,8.93,0,4,4,0
1,90.2,82.9,7.74,6.33,6.46,7.15,8.07,34,4,4,0
3,62.4,68.53,6.65,6.85,8.12,5.84,7.74,1,3,3,0
3,57.8,46.9,6.65,6.85,8.27,5.32,8.04,3,3,3,0
7,74.2,83.6,6.74,7.07,7,8.27,8.81,0,3,3,0
3,67.8,68.53,6.65,6.85,8.08,6.84,9.78,5,4,3,0
7,91.2,68.53,6.65,6.85,7.46,7.46,9.78,0,4,4,0
6,83,68.53,6.65,6.85,8.26,8.5,9.15,0,4,4,0
3,94.8,77.5,6.74,7.78,6.96,8.88,9.33,2,3,3,0
5,79.4,68.53,6.65,6.85,7.15,6.85,9.18,0,4,4,0
7,87.6,68.53,6.65,6.85,7.12,7.54,9.41,35,4,3,0
7,67,62.15,6,7.28,6.69,6.88,9.58,0,4,4,0
3,82,62,6.65,6.85,6.6,9.3,9.74,0,4,4,0
1,91.4,65.6,6.96,5.91,6.3,6.96,9.45,35,4,4,0
4,88.6,63.2,5.46,5.78,5.92,6.72,7.7,3,4,3,0
3,88.8,72.9,6.67,5.94,6.5,8.32,9.74,1352,4,4,0
3,80.2,68.53,6.65,6.85,6.61,8.24,9.37,3,3,3,0
5,86,59.19,6.65,6.85,6.63,7.48,9.29,31,4,5,0
7,87.4,63.8,7.04,7.44,6.62,8.23,8.04,1234,3,3,0
2,87.6,55.6,6.04,5.91,5.08,5.69,9.54,23,3,4,0
5,71.4,68.53,6.65,6.85,6.41,6.26,8.61,3,4,4,0
5,69,68.53,6.65,6.85,6.33,6.07,7.89,0,4,4,0
5,76,65,6.96,5.4,6.07,5.93,8.64,4,5,3,0
5,88.8,76.6,7.02,5.87,6.37,6.78,0,0,3,3,0
2,73.8,68.53,6.65,6.85,5.88,6.85,9.35,2,4,4,0
6,68,68.53,6.65,6.85,6.91,6.59,8.7,0,4,5,0
3,82,60,6.65,6.85,7.27,6.8,9.07,2,4,3,0
6,88.2,58.6,6.41,5.9,6.52,6.96,9.33,0,4,4,0
2,89.2,79.3,7.37,7.67,8.19,9,9.69,3,5,5,0
7,78.2,68.53,6.65,6.85,7.31,7.08,9.3,13023,5,5,0
1,88.6,57.3,5.41,6.26,6.38,6.59,8.52,315,4,4,0
4,74,56.46,6,5.93,6.38,7.55,0,0,4,4,0
7,85.8,76.1,5.59,6.48,6.77,6.5,9.44,3,4,4,0
7,88,75,5.8,6.2,7.2,7.6,9.44,0,4,4,0
7,91.8,83.5,6.76,7.24,7.15,8.62,8.85,0,3,3,0
5,84,65,5.78,6.83,6.33,6.81,9.09,324,3,3,0
5,74,68.53,6.65,6.85,7.44,6.11,9.32,3,4,4,0
4,91.2,77.6,6.7,5.4,5.03,4.8,8.41,3,4,4,0
6,87,67,6.65,6.85,5.74,6.26,9.07,0,4,4,0
3,92.2,72.6,6.89,7.11,7.62,9.52,9.85,3,4,4,0
3,80.8,54.6,6.35,5.54,7.73,5.08,8.96,235,4,4,0
5,64,68,6.15,7.65,6.56,7.19,9.04,1,5,5,0
6,89,72.15,7.07,7.11,7.74,8.44,9.52,1,4,4,0
7,77.8,55,5.63,6.69,6.81,6.85,9,360,3,3,0
7,85,68,5.48,6.11,0,7.54,8.85,0,5,3,0
7,89,68.53,6.65,6.85,7.65,9.04,9.56,0,3,4,0
7,87.6,69.6,5.87,6.13,8,7.04,9.52,0,4,4,0
1,88.4,86.6,6.81,8.52,7.15,9.41,9.11,3,4,5,0
2,80,72,5.95,5.6,5.7,6,9.46,5,4,4,0
6,87.8,68.53,6.65,6.85,7.57,9.07,9.26,0,4,4,0
2,85,70,6.89,7.07,7.54,9.27,9.62,0,4,5,0
3,79,53.24,6.65,6.85,5.77,7.6,9.26,1,4,3,0
3,75.2,54.7,6.65,6.85,7.69,6.2,9.3,12,3,3,0
7,83.8,68.53,6.65,6.85,7.46,9.42,9.86,0,5,4,0
7,92,89,9,8.3,8.65,10,9.43,3,4,4,0
2,63.81,5,5.37,6.85,5.38,6.5,8.69,232,4,4,0
7,94.8,83.2,8.05,8.7,8.85,10,9.7,0,4,4,0
7,94.8,83.2,8.07,8.7,8.85,10,9.7,0,4,4,0
1,91,87,8.98,8.19,8.62,9.67,9.75,123425,4,4,0
6,84,67,5.9,7,7.6,7.4,9.2,0,4,5,0
6,74,74.2,6.2,6,6.09,7.06,9.37,0,3,3,0
3,72.6,68.53,6.65,6.85,5.88,7.08,9.22,13,5,4,0
5,85,78,7.78,8.28,7.48,8.45,9.57,321,4,4,0
1,89.4,65.5,5.91,6.43,5.42,6.04,6.26,32,4,5,0
4,84,80.77,7.9,8.06,8.12,8.66,9.26,53,4,4,0
6,64,50.4,6.65,6.85,7.65,9.12,9.21,123,4,4,0
6,77.6,61.8,6.5,6.56,5.74,6.04,8.56,0,4,3,0
3,84.2,65.6,6.65,6.85,7.08,6.6,9.37,412,3,3,0
1,91.2,68.53,6.46,6.93,0,6.52,7.93,0,5,4,0
5,84.4,68.53,6.65,6.85,7.48,7.7,9.32,0,3,4,0
5,70.2,68.53,6.98,7.54,6.56,6.59,8.32,360,3,3,0
6,78,69,5.81,6.19,6.7,7.06,9,0,5,5,0
3,70,68.53,6.65,6.85,6.92,7.86,9,12,3,3,0
2,77.2,52.9,5.46,6.13,7.12,6.46,9.04,325,2,2,0
2,75.8,64.7,5.91,6.43,6.08,6.73,7.77,123,4,4,0
1,87.6,77.6,6.59,6.96,7.35,8.67,7.93,342,4,4,0
7,78.2,68.53,6.65,6.85,7.23,7.54,9.5,0,4,4,0
7,93,68.53,6.85,6.85,8.19,9.85,9.67,0,4,4,0
1,84.86,60.4,5.89,6.48,6.04,6.74,8.89,2,4,4,0
1,83.2,77.4,7.07,7.54,8.08,8.26,9.48,5,5,4,0
1,9.2,77.4,7.07,7.54,8.08,8.26,9.48,235,5,5,0
3,80,66,6.33,6.19,6.46,7.88,8.93,3,3,3,0
6,72,60,6.65,5.37,5.09,6.03,8.15,234,4,4,0
1,67.8,55.6,6.65,6.85,7.54,7.67,9.52,12,3,3,0
7,89.6,68.53,6.65,6.85,8.08,9.46,9.67,0,3,3,0
3,86.4,68.53,6.65,6.85,8.19,7.08,9.04,1,4,4,0
4,70.2,68.2,6.65,6.85,6.65,6.28,9.11,0,3,3,0
6,94.69,79.9,7.24,7.91,6.89,6.89,9.47,0,3,4,0
1,90,92.77,8.48,8.39,8.38,9.23,9.71,232,5,5,0
1,81.7,68.53,4.94,5.93,8.23,6.93,8.15,2,4,4,0
7,89.2,76.6,5.81,6.59,6.96,7.19,9.07,1,4,5,0
3,85,78.92,7.5,6.81,6.55,9.52,9.78,0,4,5,0
1,9.2,64.7,5.94,6.3,6.85,7.11,9.15,1325,5,5,0
4,90,74,6.6,7.04,7.2,7.3,8.3,12,4,5,0
2,80,63,5.61,4.67,6.35,7.12,9.23,0,4,4,0
3,77,68.53,6.65,6.85,8.54,6.56,8.85,3,4,4,0
3,77,68.53,6.65,6.85,8.54,6.56,8.85,3,4,4,0
6,80,60,6.57,5.48,6.17,6.31,8.59,0,5,5,0
5,84.6,68.53,6.65,6.85,5.81,6.81,9.5,0,4,3,0
7,79.2,72.3,6.57,6.28,6.54,8,9.3,23,4,4,0
1,87.4,65,5.48,6.39,7.58,7.3,8.59,35,4,4,0
6,84.67,70.4,7.44,8.37,8.13,9.85,9.22,23,4,5,0
1,74.8,74.9,6.43,6.15,5.77,7.96,8.63,3,2,2,0
1,89,68.53,6.65,6.85,6.35,8.41,9.26,2353,4,4,0
4,83,64,6.4,7.2,6.38,7.38,9.41,32,4,4,0
4,71.2,70.6,6.67,6.61,6.92,8.41,9.11,0,3,3,0
3,90.2,76.4,5.5,5.7,6,6.3,8.32,12,3,3,0
7,84.8,68.53,5.69,6.17,5.58,7.31,9.48,0,4,3,0
7,8.2,65.2,7.06,6.56,7.31,6.85,9.59,31,4,4,0
7,80,70.15,6.65,6.36,7.38,7.77,9.3,3603,4,4,0
3,72,68.53,6.65,6.85,6.69,6.52,9.7,13,4,4,0
3,73.8,68.53,6.65,6.85,6.77,6.96,9.67,32,4,4,0
2,88,85.53,8,6.9,6.7,7.9,9.53,32,4,4,0
7,82,63,5.69,6.38,6.31,6.69,8.93,0,3,3,0
6,84.4,85.2,7.44,8.11,8.13,9.19,9.22,0,3,3,0
3,71.8,68.53,6.65,6.85,6.69,6.16,9.33,3,3,3,0
3,87,68.53,6.65,6.85,5.84,7.64,9.44,213,5,5,0
3,92.8,71.2,6.26,6.87,6.69,9.64,9.93,0,5,5,0
1,68.4,68.53,6.65,6.85,6.54,8.19,9.41,0,4,5,0
2,85,71,5.6,6,5.63,7.08,9.58,35,4,4,0
1,92.8,68.53,9,7.78,7.42,9.41,10,23553,4,4,0
3,76.2,63.8,5.74,6.81,6.96,8.56,9.48,3,3,2,0
6,90.6,68.53,6.65,6.85,8.13,9.19,9.11,0,3,3,0
3,77.84,68.53,6.65,6.85,8.31,6.36,9.3,3,4,4,0
1,93.6,82.6,9.04,8.3,7.65,9.67,9.7,0,4,4,0
3,73.4,6,4.6,5.2,8.27,5.28,9.19,0,4,4,0
5,79.2,60.6,6.85,6.3,6,7.59,9.07,23,4,4,0
1,82.4,68.53,5.52,5.17,6,7.15,9.11,354,4,4,0
4,89.6,77.5,6.7,6.26,7.46,7.21,8.96,21,3,3,0
3,75.6,59.4,5.87,6.89,6.12,6.68,9.07,0,3,3,0
5,70,52.62,5.43,6.85,6.81,5.48,7.71,0,2,3,0
6,76.6,68.53,6.65,6.85,7.39,8.15,0,0,4,4,0
3,84.2,68.53,6.3,5.59,6.5,5.87,7.89,32,3,4,0
7,81.8,74.9,7.59,6.59,8.04,9.23,8.85,0,4,4,0
5,84.8,68.53,6.65,6.85,6.67,7.44,8.89,0,3,3,0
1,79,60.15,5.07,5.5,8.77,5.81,9.04,2,3,4,0
1,77,68.53,6.65,6.85,51.11,71.44,88.635,53,3,3,0
3,76,54,6.65,6.85,8.31,6.48,8.81,0,4,4,0
1,82.8,64.3,5.91,5.65,5.27,6.78,9.74,3152,4,5,0
2,83.2,68.3,6.61,6.46,6.62,7.19,9.73,32,4,4,0
5,86,72,6.7,7.2,7.7,8.44,9.5,13,5,5,0
5,70,70,6.65,6.85,7,6,6.75,13,5,5,0
3,72.2,68.53,6.65,6.85,6.58,6.16,9.37,2,3,3,0
7,89.4,68.53,6.65,6.85,7.77,9.85,9.67,360,5,5,0
5,88,68.53,6.65,6.85,7.95,6.9,9.5,0,4,4,0
3,84.6,6,6.26,5.91,7.19,7.36,9.74,0,5,5,0
3,76.6,62.4,5.19,5.74,6.27,6.44,9.26,3,3,3,0
3,82,63,6.1,5.2,6.3,6.52,7.75,352,5,5,0
5,82.4,58.9,6.65,6.85,7.59,7.19,9.61,0,4,3,0
5,70.6,68.53,6.65,6.85,7.19,6.74,8.96,3,5,5,0
1,76.2,67.3,6.44,6.52,5.85,7.37,9.78,13,3,4,0
2,84.8,70.9,5.87,6.89,5.81,6.58,9,3,3,3,0
7,88.6,76.7,7.7,6.19,6.88,6.42,9.11,0,4,5,0
1,83.8,60.9,5.74,6.94,5.5,7.19,9.59,35,4,4,0
5,85.4,70.6,5.22,6.85,5.78,7.22,9,0,4,3,0
6,77,68.53,6.65,6.85,7.35,7.57,9.04,0,4,4,0
3,76,51.08,6.65,6.85,7.62,6.04,8.67,0,3,3,0
1,82.2,56.3,7.96,6.78,6.73,6.22,8.07,123,4,4,0
4,87,68.53,6.65,6.85,6,6.5,9.4,0,4,4,0
4,73,60,5.57,5.59,5.88,6.97,7.63,0,4,4,0
1,85.8,68.53,6.65,6.85,6.42,8.93,9.56,23,4,3,0
1,94,83.07,6.78,7.19,7.62,8.22,9.52,0,4,5,0
1,85,67,6.3,6.54,5.62,6.78,9.37,2,4,4,0
2,64.8,61.5,7.56,7.41,8.42,8.58,10,2345,3,3,0
2,88,81,6.04,7.48,6.96,7.5,9.31,235,4,4,0
6,87,68.53,6.8,6.6,7.2,6.9,9.3,0,4,4,0
3,81,58,6.65,5.74,8.23,5.28,7.34,321,5,4,0
1,78.4,64.4,6.93,7.93,6.22,8.22,9.3,521,3,4,0
1,80,64,6.69,5.57,6.77,7.37,8.4,1,4,4,0
3,82,56.92,6.57,6.43,7.19,6.2,7.89,2,4,3,0
3,80,66,5.56,6.6,6.2,7.2,9.25,0,3,3,0
6,80,60,5.63,7.76,6.7,6.76,9.37,0,3,4,0
4,82,63.08,6.65,6.85,7.54,8.45,9.3,1.22E+12,3,3,0
6,85,75.2,6.78,6.82,7.42,8.2,9.7,0,5,5,0
3,80,59,5.56,6.31,6.19,8.88,9.85,3,4,4,0
5,82.4,72.3,7.11,7.93,8.15,9.56,9.86,0,3,3,0
7,80.6,60.1,6.33,7.26,6.42,6.04,9.7,534,4,4,0
4,85.8,59.2,5.87,6.2,5.46,6.07,8.7,1,3,4,0
2,81,74.15,6.78,6.43,7.27,8.85,8.77,352,4,4,0
6,70,63,5.96,6.7,6.35,6.13,8.56,0,4,4,0
7,88.4,74.8,8.15,8.69,8.08,9.23,9.63,212,4,4,0
6,77,57,6.2,7,5.98,5.02,8.48,0,5,5,0
6,79.6,55.6,5.48,7.43,7.61,6.54,9.26,0,4,4,0
4,79.4,66.6,6.24,6.8,6.12,6.38,9.15,0,4,4,0
7,75,56,6,5.69,8.35,6.96,9.52,0,4,4,0
3,60.2,68.53,6.65,6.85,6.77,7.2,9.04,0,3,4,0
2,70.8,68.53,6.43,6.11,4.65,5.46,9.19,3,4,5,0
5,84,75.54,7.37,7.11,6.44,7.22,8.54,21,3,3,0
7,49,68.53,6.65,6.85,6.5,7.5,8.5,0,3,3,0
7,76.2,68.53,6.65,6.85,7.19,8.27,9.7,0,3,3,0
6,88.6,74.3,6.67,7.85,7.04,7.93,9.52,0,4,4,0
7,73.8,64.1,6.67,5.41,7.35,6.92,9.52,0,5,4,0
1,82.2,68.53,6.65,6.85,5.73,7.59,9.56,21535,4,4,0
7,88,86,6.8,5.3,5.19,7.46,9.7,0,5,5,0
7,70.2,66.4,6.19,6.06,6.81,8.62,9.07,0,3,3,0
3,86,68.53,6.65,6.85,8.08,5,8.07,0,4,4,0
3,86,68.53,6.65,6.85,8.08,5.5,8.07,1,4,4,0
3,82.8,68.53,6.65,6.85,7.42,5.36,8.85,12,3,4,0
2,86.8,66.7,6.59,6.3,6.88,8.88,9.62,23,3,3,0
3,70.2,68.53,6.65,6.85,7.23,6.44,7.96,1,4,4,0
1,91.8,79.2,8.59,8.26,8.73,10,9.7,3125,4,4,0
1,85,68.4,6.33,6.76,6.5,6.44,8.26,135,4,5,0
7,86.6,68.53,6.65,6.85,6.69,6.69,9.26,0,4,4,0
1,95,84,7.04,7.11,7,6.3,9.11,0,4,5,0
1,83.2,58.3,6.5,7,6.08,7.67,10,32,5,4,0
7,90.4,77.2,7.15,8.33,7.38,9.23,9.7,136023,4,4,0
5,59,50,6.65,6.85,7.36,5.7,8.39,0,5,5,0
1,88.4,81.3,8.07,8.63,8.12,9.7,9.85,2,4,3,0
5,79,68.53,6.65,6.85,5.81,6.56,8.39,3,4,4,0
4,70.6,66.1,5.69,5.93,5,5.62,8.7,3,4,4,0
3,74,48.92,6.65,6.85,6.42,7.6,8.78,34,4,3,0
4,94,77.8,5.96,5.76,5.85,7.38,8.96,0,4,4,0
7,83.54,68.53,6.65,6.85,7.2,7.5,9.2,3,5,5,0
2,74,72.04,6.48,6.69,6.58,7.77,9.69,2,2,3,0
2,80.8,68.53,6.5,6.04,6.15,7,9.15,23,4,4,0
3,85.4,68.53,6.65,6.85,8.62,5.75,8.89,12,3,3,0
7,92.2,81.6,7.7,8.17,7.5,9.27,9.96,360,4,4,0
3,82.6,68.53,6.65,6.85,6.88,7.04,9.07,4,4,4,0
2,85.8,68.53,5.74,6.37,5.92,7.73,8,123,4,4,0
7,79.4,53.9,6.46,5.46,7.19,8.46,9.56,0,3,2,0
3,72.6,63,6.43,6.26,7.12,7.12,9.11,2,4,3,0
1,64,61,5.19,5.76,6.73,7.04,9,123,4,4,0
3,64.2,61.3,5.19,5.76,6.73,7.04,9,325,5,5,0
2,92.2,68.53,6.65,6.85,6.81,7.12,8,0,3,3,0
5,77.4,70.7,5.98,6.31,6.44,6.96,6.39,0,3,3,0
3,68.36,47.2,6.65,6.85,7.42,6.48,9.33,12,3,2,0
5,88,75.5,6.44,6.65,6.22,6.63,8.86,2,5,5,0
5,64.8,56.8,6.02,6.08,5.96,6.39,8.57,1,4,3,0
7,86,78.77,6.2,6.7,6.85,8.56,9.44,0,4,4,0
3,74.2,6,5.59,6.33,6.92,7.56,8.04,12,3,3,0
3,83.6,68.53,6.65,6.85,5.96,7.44,8.93,0,3,3,0
1,67,55.85,6.54,6.19,7.85,7.7,8.37,3,4,4,0
1,87,79,7.04,7.74,8.38,8.74,9.3,3,4,3,0
5,80,56.77,5.91,6.19,6.22,6.11,8.64,0,3,3,0
1,94,83.85,8.28,8.17,8.38,9.67,10,0,4,4,0
2,77.8,68.53,6.65,6.85,7.77,9.23,9.81,235,5,5,0
1,66,64,5.65,6.15,6.54,6.5,9.37,0,4,5,0
1,79.6,55,6.07,6.26,6.81,7.52,10,123,3,3,0
5,77,58.15,7.67,6.15,6.89,7.33,9.75,23,4,4,0
6,80.8,67.5,6.04,6.07,6,7.36,8.96,0,4,4,0
7,89.6,93.5,8.5,7.78,8.92,8.54,9.41,232020,5,5,0
6,79,68.53,6.65,6.85,6.9,7.5,8.67,0,3,3,0
1,93.6,62.3,5.74,6.67,5.69,7.22,9.41,1254,4,3,0
1,81.7,62.2,5.89,5.94,6.08,7.93,9.74,3,3,3,0
3,82,60.48,5.1,6.46,7.15,6.48,9.4,43,4,4,0
7,85.8,81.5,6.07,6,7.54,8.88,9.44,123,4,5,0
7,84.2,68.53,6.65,6.85,7.34,7.38,9.67,0,4,4,0
3,77,58.15,6.39,6.81,6.65,8.24,9.56,3,3,4,0
5,90,78.2,6.65,6.85,7.07,7.19,9.25,0,5,5,0
4,91.6,83.6,7.41,6.54,7.04,6.98,9.54,0,4,4,0
7,77.2,68.53,6.96,6.52,6.85,8.5,9.59,202,3,3,0
2,78,56,7,7,7,7,7,7,5,5,0
3,71.4,68.53,6.65,6.85,7.65,6,8.81,0,3,3,0
1,66.2,67.5,5.96,6.43,5.88,7.19,8.96,35,4,4,0
1,78.3,8,6.87,6.87,7.04,7.05,8.89,521,4,4,0
5,89.2,77.6,6.65,6.85,6.48,6.7,9.71,0,4,4,0
5,82,76.67,7.34,8.56,7.34,6.22,9.54,21,5,5,0
5,94,80,7.78,8.41,8.67,9.56,9.79,3,4,4,0
1,78.8,68.53,6.7,6.93,7.19,7.67,9.19,132,3,4,0
3,81.4,67.8,6.44,7.22,6.73,6.64,8.22,2,4,4,0
3,69,72,6.65,6.85,7.3,7.4,8,3,3,3,0
7,91.4,69.6,5.7,6.89,6.73,7.81,9.85,123,4,3,1.44
7,91.4,69.6,5.7,6.89,6.73,7.81,9.85,12341,4,3,1.44
6,74.4,50.4,6.65,6.85,7.43,7.61,8.4,0,4,4,1.8
1,89.8,83.6,7.57,6.94,7.04,9.1,9.1,315,5,5,2
3,64.36,68.53,6.65,6.85,6.54,6.76,9.33,2,4,4,2.16
7,88.8,75,7.78,7.63,7.31,9.42,10,0,4,3,2.35
4,84,72,7.11,6.3,6.04,7.41,8.74,35,5,5,2.8
4,70,55.3,6.5,4.9,6.7,5.9,6.5,23,4,4,2.8
3,72.2,63.2,6.54,6.52,7.27,5.95,9.33,0,4,3,2.8
7,63.8,55.8,5.7,5.69,7.42,6.5,9.52,13,4,4,3
1,90.2,64.4,5.7,6.7,6.7,8.4,9.5,314,4,5,3
2,85,54.92,5.69,6.41,6.69,5.77,9.58,3,4,4,3.05
3,76.6,71.6,6.65,6.85,7.08,7.6,9.59,2125,4,4,3.05
7,91.2,58.7,6.85,6.85,7.5,8.73,9.44,0,4,4,3.1
3,70,79.69,6.89,7.19,7.19,8.76,9.33,2140,4,3,3.12
1,68.28,65.5,5.22,6.37,6.08,7.33,9.19,235,3,4,3.12
2,76,60.46,6.11,6.44,7.04,7.73,9.88,3255,4,3,3.12
4,83,69.38,5.94,6.17,6.19,7.79,9.07,25,4,4,3.12
4,7.8,68.53,6,6.8,5.92,6.55,8.37,1523,5,5,3.12
3,90.4,66.9,6.67,6.43,6.92,9.28,8.63,152,5,5,3.12
7,80,60,5.65,5.67,7.62,7.73,8.41,0,4,4,3.12
1,75.8,68.53,6.65,6.85,6.62,8.11,9.56,213,5,4,3.12
3,84.4,65.8,6.56,6.7,7.04,6.44,9.7,3,3,2,3.12
3,87,75,6.33,6.37,6.03,7.92,9.74,35,5,4,3.12
4,92.4,83.5,7.11,7.09,7.96,8.72,9.26,0,4,4,3.12
1,82,68.53,6.65,6.85,7.83,8.15,9.59,234,4,4,3.12
3,88.4,69.8,6.65,6.85,6,7,7,2,4,4,3.12
4,88.4,75.2,5.76,7.09,7.42,6.31,8.93,35,4,4,3.12
1,84,63.2,5.78,6.26,7.27,8.07,9.52,35,4,4,3.12
3,83.2,76.1,6.52,6.7,6.15,8.08,9.56,124,5,4,3.12
3,78,65.38,6.04,6.36,7.5,5.84,0,2,4,4,3.12
1,93.2,82.9,8.26,7.59,8.31,9.7,10,123,5,5,3.12
2,82,68,5.72,6,7.08,8,8.73,0,3,5,3.2
1,75,54,5.89,5.94,6.15,6.81,9.37,32,4,5,3.2
3,83.4,68.53,6.17,6.06,5.96,7.28,9.11,3512,3,4,3.3
3,75.6,68.53,6.65,6.85,6.08,7,8.81,25,3,3,3.3
2,90.2,7,6.5,6.52,6.7,7.46,9.69,1,3,3,3.3
3,82,69,5.9,6.3,6.7,7.8,9.47,2,3,3,3.3
3,75.6,61.2,5.87,6.19,5.81,8.08,9.26,2,3,3,3.3
3,60,68.53,6.65,6.85,8.8,6,8.3,3215,4,4,3.3
1,80.8,50.7,6.65,6.85,6.08,7.52,8.93,123,4,4,3.3
3,88.6,76.4,7.13,7.35,7.08,9.16,9.7,12,4,4,3.3
3,77.4,64.3,5.98,5.15,6.8,5.24,7.81,3,5,4,3.3
1,79.2,68.4,5.74,6.37,4.69,7.22,9.04,23,4,5,3.3
1,92.8,83.6,8.81,8.56,9.23,9.67,9.78,235,3,3,3.36
1,91.2,75.4,7.93,8.11,7.54,9.7,9.56,2,5,5,3.36
5,81,70,7.52,7.59,7.85,9.41,9.25,31,3,3,3.36
7,88.8,68.53,6.65,6.85,8.58,9.85,9.74,314,4,4,3.36
7,89.4,68.53,6.65,6.85,9.31,10,10,1.20E+15,5,4,3.36
2,79.2,68.53,6.65,6.85,7.35,8.23,9.85,32,3,3,3.36
1,85,68.53,6.65,6.85,5.77,8.44,9.85,12,4,4,3.36
7,83.8,68.53,6.96,6.57,6.96,7.69,9.22,135,4,4,3.36
2,87.6,73.3,7.59,7.44,7.54,8.42,9.38,232,4,4,3.36
2,88,72,6.8,6.2,6.81,7.7,9.5,35,4,4,3.36
5,85.4,83.4,7.93,7.96,8.64,9.7,9.85,3,4,4,3.36
7,95.6,81,8.78,8.59,8.88,9.61,9.38,1,3,3,3.36
1,91.2,73.8,5.56,6.56,6.62,6.96,9.52,31,4,4,3.36
5,78.9,68.53,6.65,6.85,6.9,7.22,9.04,13603,5,5,3.36
7,80,60,5.54,6.37,6.3,6.58,9.93,0,4,4,3.36
7,85.8,63.5,7.81,8.63,8.69,9.08,9.56,23,4,4,3.36
2,70.2,68.53,6.33,6.7,7.85,8.27,9.31,253,4,4,3.36
7,89.6,68.53,6.65,6.85,7.85,8,9.63,360323,5,5,3.36
5,87.8,75.3,6.59,6.46,6.78,7.15,8.96,3,4,4,3.36
1,91.2,78.7,6.37,6.93,5.73,7.3,9.07,32,4,4,3.36
2,89,84.46,6.98,7.72,7.12,7.58,9.46,3,3,4,3.36
2,77.6,68.53,6.65,6.85,6,8.31,9.5,2,4,4,3.36
7,84,83.85,7.25,7.75,7.96,9.96,9.56,4.96E+11,3,4,3.36
1,83.8,64.1,7.15,8.19,8.23,9.56,9.63,12325,4,4,3.36
2,92.8,87.8,7.78,8.04,8.27,8.27,9.58,25312,4,3,3.36
4,88,65,5.89,5.9,5.73,6.52,8.85,13,4,4,3.36
1,88.6,67.2,7.54,7.45,7.34,7.9,9.38,3252,4,4,3.36
